Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Transcriptional misregulation in cancer	3/192	6.390614e-04	1.402120e-03	0	0	2.094497e+01	1.540610e+02	MYC;MMP9;TP53
KEGG_2021_Human	Chemokine signaling pathway	3/192	6.390614e-04	1.402120e-03	0	0	2.094497e+01	1.540610e+02	PIK3CA;BRAF;KRAS
KEGG_2021_Human	Fanconi anemia pathway	2/54	1.064812e-03	2.301873e-03	0	0	4.790865e+01	3.279327e+02	ERCC1;MLH1
KEGG_2021_Human	Ras signaling pathway	3/232	1.105363e-03	2.354903e-03	0	0	1.725153e+01	1.174412e+02	PIK3CA;KRAS;VEGFA
KEGG_2021_Human	Pyrimidine metabolism	2/56	1.144700e-03	2.403870e-03	0	0	4.612963e+01	3.124181e+02	DPYD;TYMS
KEGG_2021_Human	Long-term depression	2/60	1.312862e-03	2.718180e-03	0	0	4.293966e+01	2.849280e+02	BRAF;KRAS
KEGG_2021_Human	Basal cell carcinoma	2/63	1.446287e-03	2.952836e-03	0	0	4.082172e+01	2.669233e+02	APC;TP53
KEGG_2021_Human	GnRH secretion	2/64	1.492147e-03	3.004734e-03	0	0	4.016129e+01	2.613512e+02	PIK3CA;KRAS
KEGG_2021_Human	Long-term potentiation	2/67	1.633865e-03	3.245651e-03	0	0	3.830192e+01	2.457760e+02	BRAF;KRAS
KEGG_2021_Human	Fc epsilon RI signaling pathway	2/68	1.682481e-03	3.254272e-03	0	0	3.771970e+01	2.409340e+02	PIK3CA;KRAS
KEGG_2021_Human	Mitophagy	2/68	1.682481e-03	3.254272e-03	0	0	3.771970e+01	2.409340e+02	KRAS;TP53
KEGG_2021_Human	p53 signaling pathway	2/73	1.935824e-03	3.695664e-03	0	0	3.505458e+01	2.189937e+02	CCND1;TP53
